Category,Listing Name,Descript
education,EDUCATION OFFICERS,"['EDUCATION OFFICERS (Contract Basis)', 'If you have a professional teaching qualification (such as the Postgraduate Diploma in Education or Diploma in Education from the National Institute of Education) and relevant content knowledge, we welcome you to join us as Education Officer for the following positions:', 'Humanities Scholarship Programme (HSP) – Subjects required are Economics, History or Geography', '\xa0', 'Malay Special Programme (MSP)', 'Art & Design', 'Theory of Knowledge', 'REQUIREMENTS', 'Possess relevant teaching qualifications.', 'Experience in teaching the related programmes in local secondary schools.', 'Overseas teaching experience may be considered too.', 'Passionate in educating and interacting with student']"
education,"Senior Executive (Education Technology and Pedagogy), Digital Learning","[""The staff is required to contribute in education technology and pedagogy, e.g. (data engineering and visualization for medical education). The staff is expected to develop teaching and learning solutions based on users' requirements. The staff is also responsible for the uploading of LAMS sequences for Year 1 to 3 TBL. He will also be involved to co-manage iLAMS with regards to contract renewal, enhancements and vendor management."", 'Responsibilities', 'Competent in education technology and deployment of relevant solutions to meet the needs of medical education', 'Perform programming development for relevant projects', 'Ensure the LAMS sequence for TBL sessions are created on time and accurately.', 'Ensure the contract renewals for iLAMS are done before the expiry date.', 'Plan resources and execute the User Acceptance Test for new version of the iLAMS application.', 'Work with vendor on feasibility and effort required to develop the enhancement requests, prioritize them before seeking concurrence from the team lead.', 'Requirements', ""Possess a Bachelor's Degree / Post Graduate Diploma / Professional Degree in Engineering (Computer, Electrical and Electronic Engineering), Computer Science, Information Technology or equivalent."", 'Preferably with 2 years of relevant working experience in managing vendors, though fresh graduate are welcome to apply.', 'This is a 1 year contract appointment.']"
education,Relief Teacher,"['We are looking for qualified, experienced teachers to fill short-term needs at the centres. The Relief Teacher is responsible for conducting educational lessons provided by the centre.', 'Job Scope:', 'Provide various experience and activities for children including songs, games and storytelling', ""Establish routines, provide positive guidance and build children's self-esteem"", ""Conducting lessons according to centre's curriculum"", 'Monitoring learning progress of students', 'Building good rapport with students', 'Provide safe and secure environment for children to feel comfortable', 'Perform other related duties as required', 'Requirements:', 'Must be available at short notice', 'Certificate or Diploma in Early Childhood Education', 'Good interpersonal and communication skills', 'Positive work attitude and full of initiative', 'Able to work independently as well as in a team', 'Passion for working with young children', 'Singaporeans only']"
education,"Library Specialist (Senior Executive, part-time)","['Key Responsibilities', 'Perform general library duties such as:', 'Circulation desk duties which includes loans, reservations and membership management', 'Attend to general enquiries on library matters via walk in, email and phone from faculty, students and staff', 'Provide support for interlibrary loan and documents delivery services', 'Maintains library collection and resources', 'Support library resources acquisition and processing both print and electronic including contract negotiation for renewals and new subscriptions.', 'Manage quotations and tenders which include publication of invitation to quotation (ITQ) and Invitation to Tender (ITT) for Library related projects', 'Assists to develop promotional materials and webpage updates, as well as maintenance to keep members informed of library services and resources', 'Administrative duties for Library', 'Perform any ad-hoc activities as assigned', 'Requirements', 'At least GCE ‘A’ Level with good credit in GP', 'Diploma in Library studies or equivalent qualification preferred', 'Administrative duties for Library', 'Proficient in MS Office applications', 'An independent worker with great initiative, resourceful, self-motivated, and ability to work as a team', 'Ability to multi-task and work under pressure and tight deadline', 'Experience in library preferred', 'Excellent customer service orientation;', 'Good interpersonal and communication skills;', 'Able to work 3 x full days + 2 x half days']"
education,STUDENT CARE OFFICERS,"['JOB DESCRIPTION', 'Plan and conduct both indoor and outdoor activities for primary school students\xa0', ""Ensure students' welfare and safety are being taken care of"", 'Supervise students to ensure completion of homework and that spelling revision is done', ""Liaise with parents and form teachers to provide feedback on students' behavioural and learning progress"", 'REQUIREMENTS', 'Min. GCE “O” level and above', 'Able to lead and manage primary school students', 'Able to communicate well with parents and students', 'Some relevant working experience in a related field', 'WORKING HOURS', 'Normal school term working hours: 11am - 7pm (Mon - Fri)', 'School holiday working hours: 8-hour shift between 7.30am to 7pm (Mon - Fri)']"
education,SENIOR TRAINING EXECUTIVE / ASST TRAINING MANAGER,"['Summary\xa0', 'Supporting the Training Manager in Training & Development with employee engagement\xa0', 'Job Description\xa0', 'Preparation, faciliating, conductng of classrooms and on-the-job training\xa0', 'Monitor training effectiveness of programmes delivered\xa0', 'Perform training administration duties and maintain training records', 'Design and develop On The Job training plan\xa0', 'Maintain and develop\xa0internal support to achieve\xa0service quality standards', 'Accompany evaluations with meaningful and constructive\xa0feedback', 'Analyze service metrics to identify service gaps and call for improvement', 'Monitor and evaluate customer service performance\xa0on front liner and team level to induce excellence service standard', 'Provide coaching and mentoring of newly hired on board', 'Maintain library of training resources and aids', 'Liaise with various stakeholders and external parties for any training requirements\xa0', 'Actively support and recommend continuous improvement pertaining to training processes', 'Contribute to the team culture in a positive\xa0manner\xa0', 'Any other adhoc projects/tasks delegated by the training manager\xa0', 'Job Requirements\xa0', '3 to 5 years of experience in a hotel or training capacity\xa0', 'ACTA qualifications or other training certifications would be advantageous\xa0', 'Excellent communication and interpersonal skills to engage employees and also external parties at various levels\xa0', 'Able to work independently and has good time management skills\xa0', 'Demonstrate initiative and assertiveness towards responsibilities\xa0', 'Positive role model who is able to engage groups of diverse size and background\xa0', 'Proficient in MS Office Applications\xa0']"
education,"Officer, Learning Support (1 Year Contract)","['To ensure smooth end-to-end smooth operation of training admin pertaining to all the accelerator programme courses', 'To provide end-to-end learners’ course enrolment, registration and payment matters in achieving excellent end user experience', 'To update the assessment result into SAP or required system upon completion of course, maintenance of training record', 'To liaise with vendor/Training Provider on payment and process invoices into the required system', 'To prepare weekly reports on course attendance and budget utilisation', 'To provide general administrative duties', 'To undertake any other tasking as directed by Dy Head CCU or Head RWO.', 'Requirements:', 'Minimum 3 ‘O’ level passes.', 'Experience in learning support and management role.', 'Experience in using online registration platforms.', 'Experience in end-to-end learning support using digital tools.', 'Good communication skills and interpersonal skills with the ability to work as a team']"
education,"Assistant Manager/ Senior Executive, Centre for Career Readiness","['Responsibilities', 'Support the roll-out of career skills training programme, including:\xa0\xa0', 'Manage, keep track and update of accurate students’ reports and records', 'Liaise with the various divisions in terms of timetabling and scheduling and ensuring the smooth roll out of the programme', 'Manage and support the administration and maintenance of online platforms that supports this training programme', 'Support induction events and prepare e-information packs for incoming students', 'To support programme evaluation such as gathering and recording quantitative and qualitative data and prepare information for reporting purposes', 'Manage the pre/post training programmes communication with students and other internal stakeholders effectively', 'Assign and manage students’ consultation schedules', 'Act as secretariat to schedule, manage and record notes of meetings', 'Other duties as assigned by Director, Centre for Career Readiness', 'Requirements', 'Diploma/University Degree in any discipline', 'At least 3 years of working experiences in similar or related roles', 'Those without experience should have the relevant qualifications and willingness to learn', 'Good interpersonal, written and oral communication skills', 'Passionate, ‘never-say-die’ attitude with the ability to relate to students and understand issues/problems quickly', 'Responsible, cheerful and positive work attitude', 'Highly efficient in Microsoft Office, especially Excel']"
education,Executive,"['Job Description', ""The Lien Centre for Palliative Care ('LCPC') in Duke-NUS Medical School aims to be the premier palliative care research and educational centre in the region. With generous support from the Lien Foundation, strategic collaborations with the National Cancer Centre Singapore and the broader SingHealth institutes within the SingHealth Duke-NUS Academic Medical Centre, LCPC is poised for significant growth in the coming years."", 'We are seeking an Executive to join the Centre. The successful candidate will be responsible for general administration, coordination and execution of a variety of business functions including but not limited to the following: -', 'Provide effective administrative support to educational activities of LCPC and help the education team strengthen existing programmes.', 'Support the education team in development and project management of existing and new educational courses/programmes, including providing background information, statistics and other necessary information for the face-to-face teaching, liaising with external parties, arranging meetings, taking minutes and overseeing the administration and implementation of projects.', 'Plan and organise forum talks regularly and smoothly in the areas of publicity, registration, on-site support of talks, submission of Singapore Nursing Board points after talks, liaising with collaborators etc.', 'Liaise with collaborators, partners and vendors on operational matters and logistics for activities and events as required (Forum Talks, E-newsletter, Hospice-link etc.).', 'Handle Honorarium payments for course instructors and workgroup members.', 'Use Gebiz/Central Procurement System to handle the procurement of goods/services from external vendors.', 'Check through course content and verify that there is no error, grammatical, spelling etc. before materials are uploaded into the Learning Management System or printed for face-to-face teaching.', 'Use the Learning Management System (Brightspace etc.) to manage blended learning courses.', 'Perform other related duties incidental to the work described herein or as assigned by the supervisor.', 'Job Requirements', 'Degree or equivalent in a related discipline', ' with 1 to 2 years of relevant experience.', 'Entry level ', 'candidates will ', 'also ', 'be considered.\xa0', 'Prior w', 'ork experience in a research/academic environment would be advantageous.', 'Meticulous, well-organised and able to multi-task.', 'Have good interpersonal skills and is able to work well in teams.', 'Familiar with education technology tools such as Learning Management Systems.', 'Proficient in Microsoft Office applications', ' that will facilitate work operations ', 'such as Word, Excel and PowerPoint.', 'We regret that only shortlisted candidates will be notified.']"
education,Coding Educator (Python/Scratch),"['DJI Singapore is looking to hire Coding & Robotics Educators who are able to inspire consumers in Scratch and Python to apply on DJI products. Our goal is to provide better educational opportunities to students and help them to learn effectively. We want our students to develop their true potential and passion towards learning coding.', 'Programming Language required: Python, Scratch.', 'Platforms applied coding: DJI Robomaster S1, DJI Robomaster EP, DJI Tello EDU.']"
education,"Mentor, Student Care Centre","['You will be responsible for implementing and supervising all aspects of daily teaching and development activities for children enrolled in the Student Care Programme.', '\xa0', 'Duties and Responsibilities:', 'Prepare lesson contents and teaching environment.', 'Supervise activities to achieve developmental objectives.', 'Daily administration - attendance, grade records, health and safety, etc.', 'Maintain order in classroom and on playground.', 'Implement creative ideas, activities, and stimulating lessons and encourage students’ participation in classroom activities.', 'Address and counsel student behaviour as needed.', 'Maintain an appropriate atmosphere of safety, learning, and fun, in line with YMCA’s philosophy.', '\xa0', 'Requirements:', 'Minimum N/ O Level, NITEC or its equivalent.', 'Student care / tutoring experience is advantageous', 'Patient and passionate about teaching children', 'Friendly and cheerful with good interpersonal skills and organization skills.', 'Candidates with higher education level and working experience will be considered for\xa0', 'Senior Teacher,\xa0', 'position', 'Locations: Near MRT stations across Singapore', 'Please send your latest resume, indicating your earliest availability date, current and expected salaries by clicking on\xa0', '""Apply Now""\xa0', 'button below.']"
education,"Senior Executive, Student Administration & Support","['This position is part of the Student Administration and Support arm within the Undergraduate Programmes Office, performing the critical function of supporting pastoral care ', 'programme activities and academic services to enhance the undergraduate experience of all Nanyang Business School students.', 'The Job:', 'Handle examination operations', 'Assist in processing exemptions from Professional Bodies', ""Manage awards, bursaries, book prizes and Dean's List"", 'Provide pastoral care and support to students', 'Attend to programme and student enquiries', 'Support ad hoc projects, events and activities', 'Requirements:', 'Bachelor Degree from a recognised university of any discipline', 'Related qualifications and/or working experiences in higher education sector will be advantageous', 'Proficient in MS Office applications, particularly, Excel and student information/database management systems', 'Good interpersonal, critical thinking and communication skills', 'Meticulous with strong planning, coordination and organizational skills and ability to multi-task', 'Self-motivated, highly adaptable and able to work under pressure', 'Proactive, team player but at the same time able to work independently', 'Highly service-oriented and enjoys interacting with students, faculty and staff']"
education,Chinese Language Teacher (Part Time / Full Time),"['\xa0', 'Duties & Responsibilities', 'Conduct Chinese speech & drama lessons and enrichment lessons at various Childcare Centres and Kindergartens', 'Keep accurate records of student’s learning progress and address their individual developmental needs', 'Establish and maintain good communications and relationships with parents', 'Prepare termly progress reports for each student', '\xa0', 'Qualifications & Requirements', 'Possess tertiary qualification, certificate in Speech & Drama or equivalent', 'Candidates with 1 year and above in\xa0teaching experience with learners aged 3 to 7 years old are welcome to apply.', 'Strong passion for working with children aged 3 to 7 years old', 'Excellent communication and classroom management skills', 'Experience / Knowledge / Training in music & movement, speech & drama, will be an added advantage', 'This role is open to both Full time and Part time', '工作职责', '导引演艺戏剧和华文强化班', '观测与记录学生的表现与进度', '与家长交流和提供学生进度汇报', '申请条件', '大专以上学历或相关演艺课程证书', '一年以上与3-7岁幼儿的相关工作经验', '喜欢和3-7岁的幼儿沟通与对教学充满热忱', '良好的沟通和教室管理技能', '如有音乐或是演艺方面的经验会得到优先考虑', '欢迎拥有相关文凭的毕业生加入我们', 'Interested candidates are invited to apply online with detailed resume, stating your availability, current and expected salaries via ', 'APPLY Now', '. We thank all applicants for your interest and regret to inform that only shortlisted candidates will be notified.', '.', '.', 'Chinese language teacher, Chinese teacher, childcare, teacher, tutor, teaching']"
education,Temporary Management Support Staff,"['Job Description', ""To provide triage and administrative support to ensure a smooth and efficient running of the clinic's operations."", 'Duties and Responsibilities:', '-\xa0\xa0 \xa0Conduct temperature screening, health and travel declaration and register patients and visitors to ensure protocols and screening measures are implemented safely.', '-\xa0\xa0 \xa0Organize, sort and file reports.', '-\xa0\xa0 \xa0Scan, upload, and archive of documents.', '-\xa0\xa0 \xa0Perform data entry task.', '-\xa0\xa0 \xa0Assist with medical examination activities such as registration.', '-\xa0\xa0 \xa0Other ad hoc clinic and administrative supports as assigned by the supervisor.', 'Qualifications', 'Requirements', '-\xa0\xa0 \xa0Good planning and organizational skills\xa0', '-\xa0\xa0 \xa0Able to work independently as well as part of the team\xa0', '-\xa0\xa0 \xa0Meticulous and good service-oriented attitude', '-\xa0\xa0 \xa0Basic Microsoft Office skills', '\xa0', 'More Information', 'Location: [[Kent Ridge]]', 'Organization: [[NUS]]', 'Department : [[University Health Centre]]', 'Job Description', ""To provide triage and administrative support to ensure a smooth and efficient running of the clinic's operations."", 'Duties and Responsibilities:', '-\xa0\xa0 \xa0Conduct temperature screening, health and travel declaration and register patients and visitors to ensure protocols and screening measures are implemented safely.', '-\xa0\xa0 \xa0Organize, sort and file reports.', '-\xa0\xa0 \xa0Scan, upload, and archive of documents.', '-\xa0\xa0 \xa0Perform data entry task.', '-\xa0\xa0 \xa0Assist with medical examination activities such as registration.', '-\xa0\xa0 \xa0Other ad hoc clinic and administrative supports as assigned by the supervisor.', 'Qualifications', 'Requirements', '-\xa0\xa0 \xa0Good planning and organizational skills\xa0', '-\xa0\xa0 \xa0Able to work independently as well as part of the team\xa0', '-\xa0\xa0 \xa0Meticulous and good service-oriented attitude', '-\xa0\xa0 \xa0Basic Microsoft Office skills', '\xa0', 'More Information', 'Location: [[Kent Ridge]]', 'Organization: [[NUS]]', 'Department : [[University Health Centre]]', 'Job Description', ""To provide triage and administrative support to ensure a smooth and efficient running of the clinic's operations."", 'Duties and Responsibilities:', '-\xa0\xa0 \xa0Conduct temperature screening, health and travel declaration and register patients and visitors to ensure protocols and screening measures are implemented safely.', '-\xa0\xa0 \xa0Organize, sort and file reports.', '-\xa0\xa0 \xa0Scan, upload, and archive of documents.', '-\xa0\xa0 \xa0Perform data entry task.', '-\xa0\xa0 \xa0Assist with medical examination activities such as registration.', '-\xa0\xa0 \xa0Other ad hoc clinic and administrative supports as assigned by the supervisor.', 'Qualifications', 'Requirements', '-\xa0\xa0 \xa0Good planning and organizational skills\xa0', '-\xa0\xa0 \xa0Able to work independently as well as part of the team\xa0', '-\xa0\xa0 \xa0Meticulous and good service-oriented attitude', '-\xa0\xa0 \xa0Basic Microsoft Office skills', '\xa0', 'More Information', 'Location: [[Kent Ridge]]', 'Organization: [[NUS]]', 'Department : [[University Health Centre]]']"
education,French Language Teacher,"['Job description', 'Good command over the French language and ability to impart it to young students.', '1-2 years of experience.', 'Help with curriculum improvement, assessments, interacting with parent groups and providing updates and feedback to the Management.']"
education,Teacher (Primary School Science),"['Science Studios provides science classes and online resources. We believe that students should enjoy learning. As such, we design each lesson so that students are engaged and have fun learning! If you are creative, passionate and want a positive work environment, this is the right place for you!', 'We are looking for energetic and vibrant individuals with the following qualities:', '+Has a keen interest in Science and believes in making learning fun!', ""+Passionate about enriching children's lives"", '+Enjoys interesting hands-on experiments', '+Relevant field of studies (Faculty of Science)', '+Able to work on weekends', 'Work Scope', 'Teaching and marking. Monitor students’ progress and help them to achieve better grades.', 'Prepare apparatus for experiments. This includes purchasing and maintaining inventory.', 'Create interactive online lessons for Science Studios Online. This includes educational videos, quizzes and Science Kits.', 'Communicate with parents and potential customers regarding SS programmes, fees, replacement classes, etc.', 'Brainstorm and chart the growth of Science Studios together with us. We value your insights and thoughts on how best we can grow the enterprise. We want to make learning fun and effective for as many children as possible, and inculcate in them a joy of learning!']"
education,"Senior Executive, Learning Pedagogy [LKCMedicine] - R00006718","['The staff is required to contribute in education technology and pedagogy such as creating modern User Interface (UI) and great User Experience (UX) that enhance the learning experience of our students. S/he is expected to source and evaluate teaching and learning solutions based on given requirements. S/he is responsible for the uploading, downloading, maintenance of teaching and learning content and sequences for the entire student population. S/he co-manages our core education learning software with the vendors and users.', 'Responsibilities', 'Competent in education technology and deployment of relevant solutions to meet the needs of medical education', 'Source for digital teaching and learning solutions, perform POC with committee, gather feedbacks from committee and present outcome of POC to management', 'Ensure the LAMS sequence for TBL sessions are created on time and accurately', 'Ensure the contract renewals for applications/systems are done before the expiry date', 'Plan resources and execute the User Acceptance Test for new and existing application/system', 'Work with vendor on feasibility and effort required to develop the enhancement requests, prioritize them before seeking concurrence from the team lead', 'Requirements', 'Possess a Bachelor’s Degree / Post Graduate Diploma / Professional Degree in Engineering (Computer, Electrical and Electronic Engineering), Computer Science, Information Technology or equivalent.', 'Preferably with 2 years of relevant working experience in managing vendors, though Entry Level are welcome to apply.', 'Attention to details in understanding education technology and solutions', 'Able to multi-task across different technology domains', 'Candidate with experience in vendor management preferred', 'Able to collaborate with cross functional teams and departments', 'Able to presents ideas, expectations, and information in a concise well-organized manner to stakeholders.', 'This is a 1 year contract appointment.']"
education,Education Consultant,"['As an Education Consultant of Mastereign Enrichment, a typical day might include the following:', 'Meeting up with a client in school to conceptualise an exciting customised programme for students', 'Dressing up in workout attire and managing a sports carnival for an entire cohort of students', 'Working with Food and Beverage trainers and students to set up a mock up bistro within the school premise as a training showcase event with parents, teachers and school leaders in attendance', 'Working with programme managers to brief trainers in preparation for a training programme', 'Meeting the sales team to strategise and plan new sales and marketing strategies', 'You must have:', 'A passion for enriching, nurturing and impacting the next generation', 'An ability and desire to work in a dynamic face-paced challenging environment', 'A desire to meet and exceed measurable performance goals', 'Excellent verbal and written communication skills', 'A highly driven self-driven sense of motivation', 'Resourcefulness and good problem solving abilities', 'An ability to work in collaborative millennial teams', 'A fanatical attention to details', ""A bachelor's degree"", 'Job Responsibilities:', 'Perform all sales activities to both new and existing clientele', 'Plan, execute and project manage programmes effectively', 'Manage individual sales targets, budgets and forecast', 'Assist the Head of Enterprise in market trends and market research for the purpose of business development, product development and marketing strategies', 'Participate in marketing and sales activities with assigned responsibility for territory including participation in exhibitions and other events as required', 'Promote good relations with institutions and students', 'If you feel a sense of joy and achievement seeing young lives transformed and have a good sense of business acumen, you could be the one with Mastereign Enrichment on the journey from Success to Significance.', 'Interested candidates are invited to apply online by clicking ', '‘APPLY NOW', '’ button below with an updated resume.', 'Thank you for applying.', '• Tel: 68366466 • Fax: 67340306 •']"
education,Temporary Management Support Staff (Counselling),"['Job Description', 'To provide front desk and administrative support to the University Counselling Services (UCS) in order to ensure a smooth and efficient running of its day-to-day operations.', 'Duties and Responsibilities:', ""- \xa0 \xa0Assist and support the front desk duties that include but not limited to scheduling of clients' appointments, administering walk-in clients, managing telephone calls and handle enquiries, providing programmes information, etc."", ""- \xa0 \xa0Provide other administrative and clerical support for the smooth running of unit's operations."", '- \xa0 \xa0Perform ad-hoc departmental projects/ activities as assigned by the management.', 'Qualifications', '- \xa0 \xa0Diploma holder and above', '- \xa0 \xa0Proficient in Microsoft Office', '- \xa0 \xa0Relevant working experience in front desk job, and in healthcare settings would be an advantage', '- \xa0 \xa0Able to work effectively and confidently in a highly confidential and sensitive client-focused environment', '- \xa0 \xa0Possesses excellent customer service, communication and problem-solving skills', '- \xa0 \xa0Good team player and self-motivated', 'More Information', 'Location: [[Kent Ridge]]', 'Organization: [[NUS]]', 'Department : [[University Health Centre]]']"
education,Temporary Management Support Staff (Clinic Operations),"['Job Description', ""Provide triage and administrative support to ensure smooth and efficient running of clinic's operations."", 'Duties & Responsibilities:', '-\xa0\xa0 \xa0Conduct temperature screening, health and travel declaration and register patients and visitors to ensure protocols and screening measures are implemented safely.', '-\xa0\xa0 \xa0Organize, sort and file reports.', '-\xa0\xa0 \xa0Scan, upload, and archive of documents.', '-\xa0\xa0 \xa0Perform data entry task.', '-\xa0\xa0 \xa0Assist with medical examination activities such as registration.', '-\xa0\xa0 \xa0Other ad hoc clinic and administrative supports as assigned by the supervisor.', 'Qualifications', '-\xa0\xa0 \xa0Good planning and organizational skills\xa0', '-\xa0\xa0 \xa0Able to work independently as well as part of the team\xa0', '-\xa0\xa0 \xa0Meticulous and good service-oriented attitude', '-\xa0\xa0 \xa0Basic Microsoft Office skills', 'More Information', 'Location: [[Kent Ridge]]', 'Organization: [[NUS]]', 'Department : [[UHC]]']"
education,Economics Teacher - IGCSE and CBSE,"['Job description', 'JOB PURPOSE', '*', ""The secondary role of a teacher is to deliver classroom instruction that helps students learn and develop students' abilities, interests and coordinate through mode of creative activities."", '*', '*', 'Responsible for teaching the stipulated subject to students from Grades 9 to 12', 'Develop lesson plans in line with curriculum objectives', 'Present lessons that cater to the needs of the whole ability range within the class', 'Running of After School activities', 'Timely correction and marking of assignment work carried out by the students in class and elsewhere.', 'Assessing, recording and reporting on the development and progress of students.', 'Communicating, consulting and providing feedback to the parents of students during PTM or as and when the requirement / need arises.', '*', '*', 'JOB REQUIREMENTS', '*', '*', 'Minimum Qualifications', '*', '*', 'Graduate OR Post Graduate with B.Ed in Economics', 'Computer Literacy', 'Excellent level of communication skill', '*', '*', 'Experience Required', '*', '*', '2-5 yrs of teaching experience in CBSE/IGCSE curriculum in Specific Subject', '*']"
education,Senior Librarian,"['Key Responsibilities:', 'Develop, conduct and promote customised information and digital literacy (IDL) programmes for SIT programmes.\xa0', 'Assist in the development of the Library Services.', 'Provide information services to meet the needs of the SIT Community including developing and aligning IDL competencies with SIT Student Competency Framework', 'Use appropriate performance measurement and assessment methods to continually monitor and enhance the service and IDL delivery', 'Create learning and information tools using various platforms such as Libguides, videos, blogs, social media, iSpring, etc.', 'Build a collection of resources and tools relevant to the University’s growing teaching and learning needs.', 'Serve as the Library’s liaison to the Faculty and student groups', 'Communicate and promote library resources and services to the SIT community through regular communication and events.\xa0', 'Provide support and expertise to faculty, students, and researchers engaged in research data management planning, data acquisition, data sharing, and long-term data preservation and stewardship.', 'Participate in Library projects and events.', 'Requirements:', 'A recognised postgraduate professional qualification in Library/Information Studies', 'At least 5-8 years of professional working experience in an academic library environment, especially working with information literacy programme design and delivery.\xa0', 'Knowledge of current issues and trends in instructional pedagogy, instructional design, and multimedia production', 'knowledge of the research lifecycle, processes and issues in the higher education research environment; and the ability to assist with research training, research quality and impact.\xa0', 'Experience in providing research support services including the creation of an online presence for research profiles and social media.', 'Knowledge and experience using multidisciplinary research databases.', 'Knowledge of bibliographic management software such as Endnote and Mendeley', 'Experience with e-Learning projects', 'Ability to use technology effectively to enhance information and digital literacy instructions', 'Strong IT and project management skills', 'Strong interpersonal, written and oral communication skills', 'Resourceful, self-motivated and service oriented', 'Ability to work as a team with strong organizational and people management skills']"
education,"Senior/Executive Officer, Special Projects Unit","['Main Roles and Responsibilities', 'Provide administrative and logistics support for Special Projects Unit (SPU).', 'Work with SPU team to oversee the projects from ideation to fruition, including developing and organising detailed and comprehensive work activities for execution and documentation.', 'Assist in the formulation of SPU guidelines, policies, SOPs and related documents.', 'Assist in other duties assigned by Head (SPU) and Head (PPO).', 'For Talent Development and Incubator Programmes', 'Arrange for interviews with potential candidates for Talent Development and Incubator Programmes (Student/ Staff/ Alumni) and disbursement of funds to stakeholders (when applicable) in a timely manner.', 'Coordinate with internal Offices and Schools to ensure smooth delivery of Talent Development and Incubator Programmes.', 'Handle all Talent Development and Incubator Programmes related processes and documentation.', 'Requirements', 'Minimum qualification of Diploma in a related discipline with 5 to 8 years of relevant working experience.', 'Positive, enthusiastic, resourceful and takes initiative to drive results', 'Good proficiency in written and spoken English', 'Highly organised and detail-oriented with good planning skills', 'A team player with good interpersonal and communication skills', 'Preferably to have interest in the arts', 'Basic graphic design and layout will be an advantage.']"
education,"Assistant Manager, Academic Programme Development","['Responsibilities', 'Maintain, develop and strengthen University Partner Relationships', 'Work with Universities to ensure the smooth operations of existing academic programmes', 'Seek articulation for pre-degree programmes', 'Coordinate and prepare documents for Quality Assurance and Validation visits', 'Review current programme offerings and University partners on an annual basis', 'Requirements', 'Minimum Master’s with at least 2 years of relevant experience in developing and coordinating academic programmes in higher education industry', 'Equipped with professional business writing and communication skills', 'High sense of responsibility and accuracy in meeting deadlines', 'Comprehensive knowledge of academic quality assurance', 'Able to work independently with minimal supervision', 'Please apply with a comprehensive resume including a summary of your working experience, current and expected salary to us by clicking on ""', 'Apply Now""', ' button below.', '\xa0', 'We regret that only shortlisted candidates will be notified.']"
education,"Manager (Marketing & Events), Centre for Future-Ready Graduates","['Job Description', 'Introduction', ""We are the University's dedicated career centre. We equip students with skills to enhance their employability and to thrive in their future careers. Our team takes a multi-pronged approach to ensure students are career-ready upon graduation - by delivering career-readiness programmes, career and internship opportunities, professional career advisory and valuable industry insights."", ""The NUS CFG marketing and events team is responsible for crafting the career centre's marketing strategy, building compelling messages that engage with our various audiences (students, alumni, employers), and implementing integrated marketing campaigns across digital and offline touchpoints. We are seeking an experienced marketer to join us in our exciting mission to develop career- and future-ready NUS graduates!"", 'Key Responsibilities:', '-\xa0\xa0 \xa0As brand guardian, develop and implement brand guidelines to ensure the NUS CFG brand is consistently communicated across all touchpoints', '-\xa0\xa0 \xa0Plan, lead and implement holistic marketing campaigns across NUS CFG programmes and initiatives', '-\xa0\xa0 \xa0Put in place effective content strategies and campaigns', '-\xa0\xa0 \xa0Supervise the creation of necessary marketing communication collaterals including videos, social media content, newsletters, emails and printed materials', '-\xa0\xa0 \xa0Lead/support in the planning and execution of large-scale virtual and physical events for instance career fairs\xa0', 'We are looking for', '-\xa0\xa0 \xa0An energetic and passionate marketer with a desire for work that impacts lives', '-\xa0\xa0 \xa0An organized self-starter who is able to multi-task effectively and make sense of ambiguity', '-\xa0\xa0 \xa0An experienced marketing communications practitioner familiar with channels from digital (web, social media, email) to offline (events, print, out-of-home)', '-\xa0\xa0 \xa0A strong project manager able to manage diverse stakeholders', '-\xa0\xa0 \xa0An excellent communicator who has a flair for language and is highly adept with the English written word', '-\xa0\xa0 \xa0Someone comfortable with technology and resourceful at using applications and tech tools to support marketing objectives', 'Qualifications', 'A recognised university degree with at least 5 years of relevant marketing experience\xa0', 'Must possess hands-on experience with:', 'Marketing campaign management', 'Content marketing\xa0', 'Creative and creative production process', 'Event management (physical and/or virtual)', 'Candidates possessing the following will have added advantage:', 'Creative design (graphic/video) skills']"
